"No.","Time","Source","Destination","Protocol","Length","Info","RTT","ACK","Retransmisiones","Analisis RTO"
"1972","2021-11-28 18:37:40,698169","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1973","2021-11-28 18:37:45,980640","c2:04:04:48:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","357","Device ID: Gateway  Port ID: FastEthernet0/0  ","","","",""
"1974","2021-11-28 18:37:48,925888","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1975","2021-11-28 18:37:50,664981","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1976","2021-11-28 18:37:59,008154","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1977","2021-11-28 18:38:01,343631","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1978","2021-11-28 18:38:09,672212","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1979","2021-11-28 18:38:11,980824","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"1980","2021-11-28 18:38:19,930628","c2:04:04:48:00:00","DEC-MOP-Remote-Console","0x6002","77","DEC DNA Remote Console","","","",""
"1981","2021-11-28 18:38:20,699329","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"1982","2021-11-28 18:38:22,918995","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
